!!SBtab	SBtabVersion='1.0' Document='Nair_2016_optimized' TableName='Compound' TableTitle='Compound' TableType = 'Compound'										
!ID	!Unit	!InitialValue	!IsConstant	!Assignment	!Interpolation	!Type	!Location	!IsInput	!Identifiers:UniProt	!Identifiers:kegg_compound
AC5	nanomole/liter	700	0	0	0	kinetic	Spine	0	P84309	K08045
AC5_ATP	nanomole/liter	0	0	0	0	kinetic	Spine	0		
AC5_Ca	nanomole/liter	0	0	0	0	kinetic	Spine	0		
AC5_Ca_ATP	nanomole/liter	0	0	0	0	kinetic	Spine	0		
AC5_Ca_GaolfGTP	nanomole/liter	0	0	0	0	kinetic	Spine	0		
AC5_Ca_GaolfGTP_ATP	nanomole/liter	0	0	0	0	kinetic	Spine	0		
AC5_GaolfGTP	nanomole/liter	0	0	0	0	kinetic	Spine	0		
AC5_GaolfGTP_ATP	nanomole/liter	0	0	0	0	kinetic	Spine	0		
AMP	nanomole/liter	0	1	0	0	kinetic	Spine	0		C00020
ATP	nanomole/liter	5000000	1	ATP_expression	0	kinetic	Spine	0		C00002
B56PP2A	nanomole/liter	2000	0	0	0	kinetic	Spine	0	P63330 Q76MZ3 Q14738	K03456
B56PP2A_D32p75	nanomole/liter	0	0	0	0	kinetic	Spine	0		
B56PP2A_pARPP21	nanomole/liter	0	0	0	0	kinetic	Spine	0		
B56PP2Ap	nanomole/liter	0	0	0	0	kinetic	Spine	0		
B56PP2Ap_D32p75	nanomole/liter	0	0	0	0	kinetic	Spine	0		
B56PP2Ap_pARPP21	nanomole/liter	0	0	0	0	kinetic	Spine	0		
B72PP2A	nanomole/liter	2000	0	0	0	kinetic	Spine	0	P63330 Q76MZ3 B2RXC8	
B72PP2A_D32p34	nanomole/liter	0	0	0	0	kinetic	Spine	0		
B72PP2A_D32p75	nanomole/liter	0	0	0	0	kinetic	Spine	0		
B72PP2A_pARPP21	nanomole/liter	0	0	0	0	kinetic	Spine	0		
B72PP2A_Ca_D32p34	nanomole/liter	0	0	0	0	kinetic	Spine	0		
B72PP2A_Ca_D32p75	nanomole/liter	0	0	0	0	kinetic	Spine	0		
B72PP2A_Ca	nanomole/liter	0	0	0	0	kinetic	Spine	0		
B72PP2A_Ca_pARPP21	nanomole/liter	0	0	0	0	kinetic	Spine	0		
Ca	nanomole/liter	60	1	Ca_expression	1	kinetic	Spine	1		
CaM	nanomole/liter	9000	0	0	0	kinetic	Spine	0	P0DP28 P0DP27 P0DP26	K02183
CaM_Ca2	nanomole/liter	0	0	0	0	kinetic	Spine	0		
CaM_Ca4	nanomole/liter	0	0	0	0	kinetic	Spine	0		
CaM_Ca4_pARPP21	nanomole/liter	0	0	0	0	kinetic	Spine	0		
CaMKII	nanomole/liter	20000	0	0	0	kinetic	Spine	0	P28652 P11798	K04515
CaMKII_CaM_Ca4	nanomole/liter	0	0	0	0	kinetic	Spine	0		
CaMKII_CaM	nanomole/liter	0	0	0	0	kinetic	Spine	0		
CaMKII_CaM_Ca2	nanomole/liter	0	0	0	0	kinetic	Spine	0		
CaMKII_CaM_Ca2_psd	nanomole/liter	0	0	0	0	kinetic	Spine	0		
CaMKII_CaM_psd	nanomole/liter	0	0	0	0	kinetic	Spine	0		
CaMKII_CaM_Ca4_psd	nanomole/liter	0	0	0	0	kinetic	Spine	0		
CaMKII_psd	nanomole/liter	0	0	0	0	kinetic	Spine	0		
cAMP	nanomole/liter	0	0	0	0	kinetic	Spine	0		C00575
Substrate	nanomole/liter	3000	0	0	0	kinetic	Spine	0	P23818 P23819 Q9Z2W9 Q9Z2W8	K05197 K05198 K05199 K05200
CDK5	nanomole/liter	1800	0	0	0	kinetic	Spine	0	P49615	K02090
CDK5_D32	nanomole/liter	0	0	0	0	kinetic	Spine	0		
D1R	nanomole/liter	2000	0	0	0	kinetic	Spine	0	Q61616	K04144
D1R_DA	nanomole/liter	0	0	0	0	kinetic	Spine	0		
D1R_Golf_DA	nanomole/liter	0	0	0	0	kinetic	Spine	0		
D1R_Golf	nanomole/liter	0	0	0	0	kinetic	Spine	0		
D32p34	nanomole/liter	0	0	0	0	kinetic	Spine	0		
D32p75	nanomole/liter	0	0	0	0	kinetic	Spine	0		
D32	nanomole/liter	50000	0	0	0	kinetic	Spine	0	Q60829	C03758
DA	nanomole/liter	20	1	DA_expression	1	kinetic	Spine	1		K15494
GaolfGDP	nanomole/liter	0	0	0	0	kinetic	Spine	0	Q8CGK7	K04633
GaolfGTP	nanomole/liter	0	0	0	0	kinetic	Spine	0	Q8CGK7	K04633
Gbgolf	nanomole/liter	0	0	0	0	kinetic	Spine	0	P62874 Q61012	K04548
Golf	nanomole/liter	2000	0	0	0	kinetic	Spine	0		
pCaMKII	nanomole/liter	0	0	0	0	kinetic	Spine	0		
pCaMKII_CaM_Ca4	nanomole/liter	0	0	0	0	kinetic	Spine	0		
pCaMKII_CaM	nanomole/liter	0	0	0	0	kinetic	Spine	0		
pCaMKII_CaM_Ca2	nanomole/liter	0	0	0	0	kinetic	Spine	0		
pCaMKII_CaM_Ca2_psd	nanomole/liter	0	0	0	0	kinetic	Spine	0		
pCaMKII_CaM_psd	nanomole/liter	0	0	0	0	kinetic	Spine	0		
pCaMKII_CaM_Ca4_psd	nanomole/liter	0	0	0	0	kinetic	Spine	0		
pCaMKII_psd	nanomole/liter	0	0	0	0	kinetic	Spine	0		
pSubstrate	nanomole/liter	0	0	0	0	kinetic	Spine	0		
PDE4	nanomole/liter	2000	0	0	0	kinetic	Spine	0	O89084 Q01063 Q3UEI1 Q9QXI7	K13293
PDE4_cAMP	nanomole/liter	0	0	0	0	kinetic	Spine	0		
PDE10r	nanomole/liter	700	0	0	0	kinetic	Spine	0	Q8CA95	
PDE10r_cAMP	nanomole/liter	0	0	0	0	kinetic	Spine	0		
PDE10c	nanomole/liter	0	0	0	0	kinetic	Spine	0		
PDE10c_cAMP	nanomole/liter	0	0	0	0	kinetic	Spine	0		
PKA	nanomole/liter	1200	0	0	0	kinetic	Spine	0		K04345
PKAc	nanomole/liter	0	0	0	0	kinetic	Spine	0	P05132 P68181	
PKAc_B56PP2A	nanomole/liter	0	0	0	0	kinetic	Spine	0		
PKAc_D32	nanomole/liter	0	0	0	0	kinetic	Spine	0		
PKAc_ARPP21	nanomole/liter	0	0	0	0	kinetic	Spine	0		
PKA_Ca2MP	nanomole/liter	0	0	0	0	kinetic	Spine	0		
PKA_Ca4MP	nanomole/liter	0	0	0	0	kinetic	Spine	0		
PKAc_D32p75	nanomole/liter	0	0	0	0	kinetic	Spine	0		
PKAreg	nanomole/liter	0	0	0	0	kinetic	Spine	0	P31324	
PP1	nanomole/liter	3000	0	0	0	kinetic	Spine	0	P62137 P62141 P63087	K06269
PP1_pCaMKII_psd	nanomole/liter	0	0	0	0	kinetic	Spine	0		
PP1_pSubstrate	nanomole/liter	0	0	0	0	kinetic	Spine	0		
PP1_D32p34	nanomole/liter	0	0	0	0	kinetic	Spine	0		
CaMKII_CaM_Ca4_psd_CaMKII_CaM_Ca4_psd	nanomole/liter	0	0	0	0	kinetic	Spine	0		
pCaMKII_CaM_Ca4_psd_CaMKII_CaM_Ca4_psd	nanomole/liter	0	0	0	0	kinetic	Spine	0		
CaMKII_CaM_Ca4_CaMKII_CaM_Ca4	nanomole/liter	0	0	0	0	kinetic	Spine	0		
pCaMKII_CaM_Ca4_CaMKII_CaM_Ca4	nanomole/liter	0	0	0	0	kinetic	Spine	0		
PP2B	nanomole/liter	4000	0	0	0	kinetic	Spine	0	P63328 P48453	K04348
PP2Bc	nanomole/liter	0	0	0	0	kinetic	Spine	0		
PP2Bc_D32p34	nanomole/liter	0	0	0	0	kinetic	Spine	0		
PP2B_CaM	nanomole/liter	0	0	0	0	kinetic	Spine	0		
PP2B_CaM_Ca2	nanomole/liter	0	0	0	0	kinetic	Spine	0		
pARPP21	nanomole/liter	0	0	0	0	kinetic	Spine	0		
ARPP21	nanomole/liter	20000	0	0	0	kinetic	Spine	0	Q9DCB4	100173450
pCaMKII_psd_Substrate	nanomole/liter	0	0	0	0	kinetic	Spine	0		
pCaMKII_CaM_psd_Substrate	nanomole/liter	0	0	0	0	kinetic	Spine	0		
pCaMKII_CaM_Ca2_psd_Substrate	nanomole/liter	0	0	0	0	kinetic	Spine	0		
pCaMKII_CaM_Ca4_psd_Substrate	nanomole/liter	0	0	0	0	kinetic	Spine	0		
CaMKII_CaM_psd_Substrate	nanomole/liter	0	0	0	0	kinetic	Spine	0		
CaMKII_CaM_Ca2_psd_Substrate	nanomole/liter	0	0	0	0	kinetic	Spine	0		
CaMKII_CaM_Ca4_psd_Substrate	nanomole/liter	0	0	0	0	kinetic	Spine	0		
